year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
26,50,20,30,12,38,15,4,15.6,19.77505553121942,36.02494446878058,54.08,45.92
27,51,22,29,12,39,15,4,16.294117647058822,22.953254257848624,31.24282417352393,54.470588235294116,45.529411764705884
28,51,22,29,12,39,15,4,17.294117647058822,22.807242722294113,30.408443552215697,54.470588235294116,45.529411764705884
29,51,24,27,14,37,15,4,18.294117647058822,23.70444725599832,29.51123901851148,54.470588235294116,45.529411764705884
30,54,28,26,14,40,15,4,18.27777777777778,24.906478241210955,30.1490773143446,54.0,46.0
31,55,28,27,14,41,15,4,18.945454545454545,26.00449731906171,26.740957226392837,53.58181818181818,46.41818181818182
32,55,30,25,14,41,15,5,19.363636363636363,25.34987828941916,28.166426451994504,54.0,46.0
33,58,33,25,16,42,15,5,19.362068965517242,28.104159924241106,27.051012489551997,54.51724137931034,45.48275862068966
34,58,33,25,16,42,17,5,18.17241379310345,27.779864298682522,25.461515011662303,54.8448275862069,45.1551724137931
35,60,33,27,18,42,17,6,18.05,26.962633286542047,27.67576864701385,52.483333333333334,47.516666666666666
36,60,35,25,20,40,17,8,18.716666666666665,26.397173598083462,27.369493068583203,52.483333333333334,47.516666666666666
37,64,37,27,22,42,17,8,18.546875,27.573979568837245,27.785395431162755,51.296875,48.703125
38,67,38,29,22,45,18,8,17.70149253731343,28.575910553935326,25.864362071535158,50.3134328358209,49.6865671641791
39,70,37,33,21,49,18,10,16.942857142857143,28.827606779691997,26.656970641942067,49.371428571428574,50.628571428571426
40,68,37,31,20,48,18,12,17.36764705882353,28.601741422273495,23.64636857070027,49.51470588235294,50.48529411764706
41,71,37,34,20,51,18,12,17.633802816901408,30.760484066307583,24.225431426650157,49.71830985915493,50.28169014084507
42,73,38,35,22,51,18,13,17.71232876712329,31.490231069659544,23.523467560477442,48.76712328767123,51.23287671232877
43,74,38,36,22,52,18,14,17.95945945945946,32.70577875134917,22.375302335318903,49.5945945945946,50.4054054054054
44,76,38,38,22,54,18,15,18.07894736842105,34.60422300883149,20.685250675379038,48.73684210526316,51.26315789473684
45,74,36,38,20,54,18,20,18.216216216216218,32.026467308808584,24.478113684070845,50.189189189189186,49.810810810810814
46,75,36,39,18,57,18,23,17.906666666666666,31.669030120437075,26.584303212896266,49.96,50.04
47,73,34,39,16,57,18,26,17.945205479452056,30.550546380611674,25.000462468238233,48.54794520547945,51.45205479452055
