year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
29,62,32,30,20,42,0,2,23.870967741935484,23.705336738843798,35.181760035349754,53.016129032258064,46.983870967741936
30,62,31,31,18,44,0,4,23.258064516129032,23.05108273989219,35.73047239246822,53.354838709677416,46.645161290322584
31,62,30,32,16,46,1,5,22.612903225806452,23.339282237378697,34.386511816252565,53.75806451612903,46.24193548387097
32,58,28,30,14,44,4,6,21.982758620689655,20.809606688621184,36.931570366053315,53.94827586206897,46.05172413793103
33,57,28,29,15,42,5,7,21.50877192982456,20.470957444217344,38.65184957332652,54.21052631578947,45.78947368421053
34,58,31,27,15,43,5,7,22.137931034482758,20.19702239375987,39.68228795106772,53.63793103448276,46.36206896551724
35,56,30,26,13,43,8,7,20.982142857142858,20.778999135567698,37.738458988471834,52.30357142857143,47.69642857142857
36,54,29,25,12,42,9,8,21.12962962962963,16.328777637034918,40.9425771680825,51.96296296296296,48.03703703703704
37,53,29,24,12,41,10,8,21.452830188679247,16.478987697383634,40.434346072101654,52.679245283018865,47.320754716981135
38,54,31,23,14,40,10,8,22.055555555555557,16.421971884408784,41.429879967443064,51.74074074074074,48.25925925925926
39,56,34,22,14,42,10,8,22.267857142857142,16.878240323959247,42.30033110461219,52.160714285714285,47.839285714285715
40,57,38,19,14,43,10,8,22.87719298245614,16.816338425241394,40.69243350458316,52.228070175438596,47.771929824561404
41,58,39,19,18,40,11,8,22.43103448275862,17.394713697661086,40.794941474752704,51.810344827586206,48.189655172413794
42,60,39,21,17,43,12,8,21.666666666666668,18.844235919412846,39.41636042927989,50.38333333333333,49.61666666666667
43,61,40,21,17,44,12,8,22.311475409836067,19.58117102454941,37.681124057417804,51.01639344262295,48.98360655737705
44,63,41,22,18,45,12,9,21.904761904761905,19.706178165019285,39.958527800737215,49.26984126984127,50.73015873015873
45,65,40,25,18,47,13,9,21.23076923076923,21.302447046762826,37.88026796620116,50.95384615384615,49.04615384615385
46,67,44,23,22,45,13,9,21.597014925373134,23.227413642544203,34.74273561118714,50.850746268656714,49.149253731343286
47,71,46,25,22,49,13,9,21.380281690140844,25.89525190410645,32.34418471561186,51.056338028169016,48.943661971830984
48,73,46,27,22,51,13,9,21.794520547945204,27.275967714757336,28.696635024968693,50.95890410958904,49.04109589041096
49,74,44,30,22,52,13,11,21.256756756756758,27.316229065328336,29.53512228602302,50.148648648648646,49.851351351351354
50,75,44,31,21,54,13,13,21.013333333333332,27.410878132691977,27.587651209107893,49.906666666666666,50.093333333333334
51,78,44,34,20,58,14,13,20.294871794871796,28.54196152598811,27.24018340028264,50.32051282051282,49.67948717948718
52,74,40,34,19,55,15,16,20.04054054054054,26.460352124138026,26.916205981688485,49.027027027027025,50.972972972972975
53,74,38,36,17,57,15,18,20.04054054054054,26.208666894430138,29.263382091792092,49.63513513513514,50.36486486486486
54,72,37,35,15,57,17,18,20.180555555555557,26.657315481351215,27.078795629759895,48.55555555555556,51.44444444444444
55,72,37,35,15,57,17,19,20.65277777777778,27.617936221852613,27.127177590085054,48.56944444444444,51.43055555555556
56,73,38,35,15,58,17,20,20.80821917808219,28.14755806330157,27.60586659423268,49.9041095890411,50.0958904109589
57,71,36,35,13,58,17,24,19.985915492957748,25.80661553078778,28.28880311469738,51.056338028169016,48.943661971830984
58,71,37,34,12,59,18,24,20.253521126760564,27.7729735913156,25.846744718543558,50.478873239436616,49.521126760563384
59,70,37,33,15,55,18,25,20.985714285714284,27.57513954956059,25.186138285639668,50.885714285714286,49.114285714285714
60,71,39,32,18,53,18,27,20.52112676056338,27.667507339717332,26.86770398066866,49.71830985915493,50.28169014084507
61,71,41,30,20,51,18,27,21.52112676056338,29.213508955008187,23.349871326681956,49.71830985915493,50.28169014084507
62,74,44,30,20,54,18,27,21.64864864864865,31.236199613431886,23.371908494676227,49.62162162162162,50.37837837837838
63,76,46,30,20,56,18,28,21.63157894736842,30.51457369256458,25.248584202172264,48.14473684210526,51.85526315789474
64,75,46,29,18,57,18,31,21.173333333333332,29.88919782495337,24.57078808559449,46.88,53.12
65,76,46,30,18,58,18,31,21.894736842105264,31.945035220792665,22.633912147628397,46.48684210526316,53.51315789473684
66,75,49,26,17,58,18,33,22.093333333333334,30.773169021031876,22.630492330256715,46.373333333333335,53.626666666666665
67,76,51,25,16,60,18,35,22.026315789473685,30.303132957566348,24.704167734977275,47.3421052631579,52.6578947368421
