year,Population,Adults,Children,Singles,Taken,Hunger Deaths,Old Age Deaths,Average Age,Average Hunger,Average Prowess,Average Selfishness,Average Reciprocity
41,57,35,22,16,41,14,9,20.912280701754387,20.773508064177324,32.787895444594604,50.94736842105263,49.05263157894737
42,60,34,26,16,44,15,9,19.833333333333332,21.95995488471433,32.62294921894588,53.083333333333336,46.916666666666664
43,63,34,29,16,47,15,9,19.88888888888889,23.577585560564966,30.009716026736626,52.55555555555556,47.44444444444444
44,65,37,28,20,45,15,9,20.276923076923076,24.97000016002776,27.368461378433782,52.84615384615385,47.15384615384615
45,66,39,27,22,44,15,11,19.71212121212121,24.74061218414542,26.654357327898914,52.25757575757576,47.74242424242424
46,66,42,24,22,44,15,11,20.71212121212121,26.166788849755147,23.242302059335763,52.25757575757576,47.74242424242424
47,68,43,25,22,46,15,11,21.102941176470587,28.655218002713532,22.947723173757055,53.51470588235294,46.48529411764706
48,66,39,27,23,43,15,15,20.09090909090909,24.100372529751635,26.111344793137032,53.84848484848485,46.15151515151515
49,69,39,30,23,46,15,15,20.217391304347824,25.688361808240952,26.876855583063396,52.072463768115945,47.927536231884055
50,69,37,32,22,47,15,17,19.91304347826087,24.381913384474405,26.777506905380665,52.666666666666664,47.333333333333336
51,70,37,33,22,48,15,17,20.62857142857143,24.357508068352622,25.899634788790234,52.357142857142854,47.642857142857146
52,71,36,35,20,51,15,19,20.211267605633804,23.89697705167102,26.68048773706137,51.38028169014085,48.61971830985915
53,74,37,37,20,54,15,19,20.39189189189189,25.297243265425962,25.959513491330796,51.08108108108108,48.91891891891892
54,76,40,36,20,56,15,19,20.855263157894736,27.008862483715156,24.662190147863793,50.6578947368421,49.3421052631579
55,79,42,37,20,59,15,19,21.063291139240505,28.240111741922302,23.671280663140994,50.9873417721519,49.0126582278481
56,82,43,39,20,62,15,19,21.29268292682927,31.16608868119051,21.40708205051681,51.74390243902439,48.25609756097561
57,83,46,37,22,61,15,19,22.03614457831325,32.25600491217996,18.56327219625377,51.1566265060241,48.8433734939759
58,80,45,35,19,61,16,23,20.9125,31.1803999751125,18.772936970224162,50.8625,49.1375
59,80,46,34,19,61,16,24,21.4625,32.469322119660404,16.768177880339596,51.1375,48.8625
60,80,48,32,21,59,16,24,22.4625,34.03035034079524,14.582149659204765,51.1375,48.8625
61,82,50,32,21,61,16,26,21.878048780487806,34.24469415481619,16.975491118135526,50.646341463414636,49.353658536585364
62,76,43,33,18,58,19,30,20.723684210526315,32.02435479083516,18.125696177843597,50.35526315789474,49.64473684210526
63,74,42,32,16,58,19,32,21.27027027027027,32.67506697123077,17.41952762336383,49.67567567567568,50.32432432432432
64,74,45,29,16,58,19,32,22.27027027027027,33.42932698506335,16.66526760953125,49.67567567567568,50.32432432432432
65,72,44,28,19,53,19,35,22.61111111111111,31.10535868217363,18.978042056805194,50.833333333333336,49.166666666666664
66,71,46,25,21,50,20,37,22.366197183098592,29.57304388716145,19.819364822547282,50.80281690140845,49.19718309859155
67,68,44,24,20,48,21,40,22.514705882352942,27.986712702944214,20.04102797638373,50.36764705882353,49.63235294117647
68,69,47,22,20,49,21,40,23.18840579710145,28.42154228146759,19.607443225778784,49.971014492753625,50.028985507246375
69,71,47,24,21,50,21,41,22.816901408450704,28.669268541621495,19.530443055264698,50.352112676056336,49.647887323943664
70,70,47,23,22,48,21,42,23.714285714285715,28.70076806517159,18.927803363399843,50.27142857142857,49.72857142857143
71,71,48,23,22,49,21,42,24.380281690140844,30.265842362967806,18.5510590454829,50.16901408450704,49.83098591549296
72,70,51,19,22,48,21,44,25.1,29.858729204467778,19.544959488716298,50.42857142857143,49.57142857142857
73,71,52,19,22,49,21,44,25.746478873239436,30.173019766100527,19.643881642350184,50.0,50.0
74,70,52,18,21,49,22,45,25.87142857142857,28.383163444673066,20.7882651267555,48.42857142857143,51.57142857142857
75,70,51,19,20,50,22,47,25.9,27.45506419334022,21.746792172694484,48.3,51.7
76,69,50,19,18,51,23,48,25.985507246376812,26.128723052013257,22.4220015856679,47.507246376811594,52.492753623188406
77,68,49,19,18,50,24,50,25.235294117647058,24.622655485753874,24.10930199817634,45.3235294117647,54.6764705882353
78,69,49,20,18,51,26,50,24.391304347826086,25.49522115866874,23.87992318290139,46.89855072463768,53.10144927536232
79,70,49,21,20,50,26,50,25.042857142857144,26.229276318620325,21.88500939566539,47.08571428571429,52.91428571428571
80,72,48,24,19,53,27,50,24.63888888888889,27.12178379439072,21.767105094498167,47.47222222222222,52.52777777777778
81,72,49,23,19,53,27,50,25.63888888888889,26.75760939691141,20.047946158644145,47.47222222222222,52.52777777777778
82,71,50,21,18,53,27,51,26.056338028169016,26.662725203097963,19.73937634242171,46.80281690140845,53.19718309859155
83,69,49,20,16,53,29,51,26.202898550724637,28.796692082941064,16.406206467783573,47.21739130434783,52.78260869565217
84,71,49,22,16,55,29,52,26.12676056338028,29.44256475569816,18.458843695006067,48.36619718309859,51.63380281690141
85,69,47,22,15,54,31,54,25.72463768115942,28.81229506234439,19.071762908670106,48.79710144927536,51.20289855072464
86,69,47,22,15,54,31,56,26.159420289855074,28.440610094922224,20.226056571744444,49.89855072463768,50.10144927536232
87,68,46,22,17,51,31,57,27.220588235294116,27.844656714242117,19.864812014356307,50.36764705882353,49.63235294117647
88,70,47,23,17,53,31,57,27.442857142857143,27.388589065852436,21.82569664843328,51.07142857142857,48.92857142857143
89,69,45,24,17,52,33,58,27.057971014492754,27.496190541584777,21.04004134247319,51.927536231884055,48.072463768115945
90,70,45,25,17,53,33,58,27.67142857142857,28.414042868418733,19.300242845866983,52.27142857142857,47.72857142857143
91,70,47,23,19,51,34,58,27.942857142857143,28.722966042523655,19.203508349604792,52.91428571428571,47.08571428571429
92,69,47,22,18,51,35,58,28.594202898550726,29.216867917121867,18.058494401718715,52.57971014492754,47.42028985507246
93,68,45,23,16,52,36,60,28.38235294117647,27.81844373539608,21.43155626460392,54.8235294117647,45.1764705882353
94,69,48,21,16,53,36,60,28.971014492753625,28.044918082390986,20.810154381377128,54.81159420289855,45.18840579710145
95,67,47,20,16,51,37,62,29.507462686567163,24.802100527760242,23.311839898196297,56.059701492537314,43.940298507462686
96,67,48,19,16,51,38,62,29.73134328358209,25.11324684178287,23.976305397023104,57.02985074626866,42.97014925373134
97,67,48,19,18,49,39,62,29.91044776119403,25.871678977079036,22.39697773933888,57.55223880597015,42.44776119402985
98,71,48,23,18,53,39,62,29.225352112676056,27.903852608063506,21.659527673626638,57.929577464788736,42.070422535211264
99,70,46,24,17,53,41,62,29.02857142857143,28.190372232804513,18.423913481481197,57.4,42.6
100,68,45,23,18,50,44,62,28.470588235294116,30.46272097529812,17.53727902470188,56.661764705882355,43.338235294117645
101,69,45,24,17,52,44,64,27.536231884057973,29.82171075892836,18.34649372047073,58.18840579710145,41.81159420289855
102,68,45,23,16,52,44,65,28.16176470588235,30.010840994171527,16.22445312347553,58.544117647058826,41.455882352941174
103,64,40,24,13,51,48,67,26.15625,27.616347784772238,18.485236481315525,59.125,40.875
104,66,41,25,13,53,48,67,26.363636363636363,29.14867477346854,17.82102219622843,58.90909090909091,41.09090909090909
105,67,44,23,14,53,49,67,26.134328358208954,28.72056778856467,18.040626241286077,58.26865671641791,41.73134328358209
106,64,41,23,14,50,50,70,26.671875,24.966166662850213,19.251621942286242,57.265625,42.734375
107,64,40,24,15,49,51,71,26.359375,25.656111633833802,22.203263366166198,58.71875,41.28125
108,61,36,25,14,47,53,73,26.114754098360656,21.973961535913713,24.911318881241048,58.65573770491803,41.34426229508197
109,60,35,25,14,46,55,73,25.616666666666667,23.704691078918586,23.928642254414747,57.916666666666664,42.083333333333336
110,57,33,24,13,44,58,73,25.263157894736842,23.5263678666205,23.651197272743435,59.719298245614034,40.280701754385966
111,55,33,22,13,42,60,73,25.254545454545454,23.819365810698976,24.20157260646001,60.527272727272724,39.472727272727276
112,54,31,23,12,42,62,73,24.833333333333332,22.84724860035762,26.431407011073155,60.7037037037037,39.2962962962963
113,53,32,21,11,42,63,73,25.264150943396228,21.70613986357609,27.161784664725797,61.0188679245283,38.9811320754717
114,51,33,18,10,41,65,73,24.88235294117647,19.902230092724054,29.56835814257006,61.627450980392155,38.372549019607845
115,51,34,17,12,39,66,73,24.647058823529413,19.098292065402063,31.70562950322539,61.98039215686274,38.01960784313726
116,53,34,19,14,39,66,73,24.71698113207547,20.396780925183858,31.018313414438783,60.79245283018868,39.20754716981132
117,54,36,18,14,40,66,74,24.72222222222222,19.27683973045242,31.72316026954758,60.425925925925924,39.574074074074076
118,54,37,17,14,40,66,74,25.72222222222222,17.878327123392484,31.26982102475567,60.425925925925924,39.574074074074076
119,56,38,18,14,42,66,74,25.803571428571427,19.681036018113698,30.908249696172017,58.67857142857143,41.32142857142857
120,56,40,16,14,42,66,74,26.803571428571427,20.14080908266565,28.662762345905776,58.67857142857143,41.32142857142857
121,55,42,13,15,40,67,74,27.29090909090909,20.616893808534613,27.801288009647216,58.127272727272725,41.872727272727275
122,56,42,14,15,41,67,74,27.803571428571427,21.210003392733835,28.129282321551877,58.67857142857143,41.32142857142857
123,55,42,13,14,41,68,74,28.381818181818183,21.018513516353366,26.935766583202717,59.38181818181818,40.61818181818182
124,55,44,11,13,42,69,74,28.29090909090909,21.934752450729526,25.974338458361384,60.763636363636365,39.236363636363635
125,54,43,11,12,42,71,74,27.62962962962963,22.872621206113607,24.514516750759874,59.888888888888886,40.111111111111114
126,52,40,12,11,41,73,75,27.346153846153847,20.01220476593935,28.256804165895673,58.55769230769231,41.44230769230769
127,52,40,12,11,41,73,75,28.346153846153847,19.865355267661755,27.82695242464594,58.55769230769231,41.44230769230769
128,54,41,13,13,41,73,75,28.296296296296298,20.30588345016763,29.731153586869407,57.2037037037037,42.7962962962963
129,54,40,14,12,42,74,75,28.24074074074074,20.236952908845225,28.28156560967329,58.03703703703704,41.96296296296296
130,53,39,14,11,42,75,75,28.735849056603772,20.71577970589029,25.90686180354367,57.867924528301884,42.132075471698116
131,53,39,14,11,42,76,75,28.754716981132077,21.82346165358951,26.963536801667097,56.509433962264154,43.490566037735846
132,52,40,12,10,42,77,75,29.25,21.645491054630742,26.758355099215407,57.40384615384615,42.59615384615385
133,53,42,11,12,41,77,75,29.69811320754717,22.80374359685994,26.177388478611757,56.54716981132076,43.45283018867924
134,53,41,12,11,42,78,75,29.660377358490567,23.27728628757207,25.892525033182647,56.58490566037736,43.41509433962264
135,53,39,14,10,43,81,75,27.660377358490567,24.2654945782463,25.515047362835695,55.075471698113205,44.924528301886795
136,53,40,13,12,41,81,75,28.660377358490567,22.789041081386454,24.399638163896565,55.075471698113205,44.924528301886795
137,54,39,15,12,42,82,75,27.925925925925927,22.07440775072932,25.29596261964105,56.31481481481482,43.68518518518518
138,54,40,14,12,42,82,75,28.925925925925927,21.766703711340202,23.75181480717832,56.31481481481482,43.68518518518518
139,56,40,16,12,44,82,75,28.892857142857142,23.177093927966325,23.305048929176536,54.875,45.125
140,55,40,15,11,44,83,75,29.436363636363637,23.041931198935853,20.939886982882328,54.70909090909091,45.29090909090909
141,55,41,14,11,44,83,75,30.436363636363637,21.873364369404104,22.108453812414076,54.70909090909091,45.29090909090909
142,56,41,15,10,46,84,75,29.803571428571427,21.776386670981367,24.68789904330435,53.42857142857143,46.57142857142857
143,54,39,15,9,45,86,75,29.703703703703702,21.85496956085921,21.40428969840005,53.925925925925924,46.074074074074076
144,53,38,15,11,42,89,75,28.28301886792453,21.56848852292341,21.97192519895987,53.094339622641506,46.905660377358494
145,54,39,15,11,43,89,75,28.75925925925926,21.207253129649335,22.977932055535852,52.851851851851855,47.148148148148145
146,55,38,17,12,43,90,75,28.236363636363638,20.75875896566693,24.877604670696705,51.27272727272727,48.72727272727273
147,56,38,18,11,45,91,75,27.803571428571427,21.309005810119128,24.458851332738014,49.375,50.625
148,55,37,18,11,44,92,75,28.363636363636363,18.76753157709393,25.977922968360616,48.58181818181818,51.41818181818182
149,55,37,18,12,43,93,75,28.418181818181818,20.57067050732626,24.720238583582834,47.4,52.6
150,55,36,19,12,43,95,75,27.490909090909092,21.27250572735932,26.223109983452023,46.85454545454545,53.14545454545455
151,57,39,18,12,45,95,75,27.526315789473685,20.787310035861516,26.844268911506905,45.98245614035088,54.01754385964912
152,57,38,19,16,41,96,75,27.50877192982456,19.317810584957858,28.115847228858513,45.228070175438596,54.771929824561404
153,56,37,19,16,40,98,75,27.089285714285715,19.52164689559478,28.674781675833792,44.964285714285715,55.035714285714285
154,55,35,20,15,40,100,75,26.581818181818182,19.891530731228457,28.00622133086827,45.43636363636364,54.56363636363636
155,55,34,21,14,41,102,75,25.727272727272727,18.84210725898105,29.93705928379426,44.63636363636363,55.36363636363637
156,56,35,21,14,42,103,75,25.267857142857142,21.07139184394216,28.160751013200695,43.892857142857146,56.107142857142854
157,58,34,24,18,40,104,75,24.448275862068964,22.654565282744795,28.052331268979348,41.8448275862069,58.1551724137931
158,60,35,25,18,42,104,75,24.633333333333333,23.82873328342888,25.35460004990446,40.8,59.2
159,60,34,26,17,43,106,75,23.8,24.131523696926465,23.933703924392102,39.96666666666667,60.03333333333333
160,60,34,26,17,43,107,75,23.916666666666668,22.268936355108043,25.281063644891958,38.95,61.05
161,61,35,26,19,42,107,75,24.524590163934427,22.65616452303136,25.819245313034212,38.36065573770492,61.63934426229508
162,62,36,26,18,44,108,76,23.5,21.48312495839436,29.29137465451591,38.11290322580645,61.88709677419355
163,62,34,28,17,45,109,78,22.177419354838708,19.592649889800306,32.550631616482605,37.064516129032256,62.935483870967744
164,60,32,28,14,46,112,78,20.983333333333334,19.59958769045592,32.47274955683928,36.083333333333336,63.916666666666664
165,61,32,29,14,47,112,78,21.639344262295083,19.853774536843698,32.35934021725466,36.50819672131148,63.49180327868852
166,63,33,30,16,47,112,79,21.206349206349206,20.092995153284825,33.84351278322311,37.44444444444444,62.55555555555556
167,65,35,30,16,49,112,79,21.553846153846155,20.735430050134713,31.095339180634518,38.753846153846155,61.246153846153845
168,66,35,31,18,48,112,80,21.515151515151516,20.76635741055099,30.536672892479313,38.666666666666664,61.333333333333336
169,68,37,31,18,50,112,80,21.88235294117647,22.53364853203483,28.804586762082817,39.3235294117647,60.6764705882353
170,70,37,33,17,53,113,80,21.514285714285716,23.55741332979454,29.171158098776893,40.214285714285715,59.785714285714285
171,73,37,36,16,57,114,80,20.876712328767123,24.119123558398293,29.174270193883842,41.76712328767123,58.23287671232877
172,73,38,35,17,56,115,81,20.561643835616437,24.737511188242063,26.947420318607247,42.0958904109589,57.9041095890411
173,74,40,34,17,57,115,82,20.77027027027027,25.196883941578356,26.424737680043265,43.0,57.0
174,73,41,32,17,56,116,82,21.10958904109589,26.275378511703696,24.368457104734663,43.21917808219178,56.78082191780822
175,76,43,33,19,57,116,82,21.276315789473685,27.264718724197458,25.169491802118333,45.06578947368421,54.93421052631579
176,75,43,32,19,56,116,83,22.213333333333335,26.548264843578345,23.638401823088323,45.44,54.56
177,76,44,32,21,55,116,83,22.92105263157895,26.92569726578691,23.745355365792044,45.1578947368421,54.8421052631579
178,75,43,32,22,53,118,84,22.333333333333332,26.622586840509744,24.696933588548482,46.14666666666667,53.85333333333333
179,77,45,32,23,54,119,84,22.051948051948052,27.26679795373618,25.09683840990019,47.27272727272727,52.72727272727273
180,76,44,32,20,56,120,86,21.86842105263158,26.653408031296312,26.201855126598424,48.80263157894737,51.19736842105263
181,75,43,32,19,56,122,86,21.76,26.76436109962631,24.91563890037369,48.6,51.4
182,76,45,31,21,55,122,86,22.473684210526315,27.038389407167728,25.264242171779646,47.98684210526316,52.01315789473684
183,73,44,29,19,54,124,88,21.643835616438356,26.130193940585677,23.635023444545595,49.67123287671233,50.32876712328767
184,70,42,28,18,52,124,91,22.114285714285714,22.1450773297133,27.769208384572416,50.25714285714286,49.74285714285714
185,70,43,27,21,49,125,91,22.385714285714286,22.936486805804297,26.656436345089567,50.128571428571426,49.871428571428574
186,73,47,26,21,52,125,91,22.465753424657535,24.530573831876822,26.5516179489451,50.205479452054796,49.794520547945204
